Vessel_Name,Flag,Callsign,Vessel_Type,AIS_Type,Year_Built,GT,DWT,Size_m
VITALITY,Niue,-,Bulk Carrier,-,1996,85711,85711,288 / 45
MERC,Unknown,-,Bulk Carrier,-,1997,85722,85722,288 / 44
EAGLE BLANE,Norway,LAIX8,Crude Oil Tanker,Tanker,2020,85745,85745,277 / 46
HEYTHROP,Liberia,-,Bulk Carrier,-,1996,85721,85721,288 / 44
SEVIN,Iran,EPJF2,Crude Oil Tanker,Tanker,2008,85462,85462,274 / 50
AMAZON,Liberia,A8UI8,Crude Oil Tanker,Tanker,2011,85496,85496,274 / 50
BEOTHUK SPIRIT,Canada,CKA2139,Crude Oil Tanker,Tanker (HAZ-A),2017,85762,85762,279 / 49
ELENI,Liberia,A8UI7,Crude Oil Tanker,Tanker,2011,85496,85496,274 / 50
SONIA I,Iran,EPIY4,Crude Oil Tanker,Tanker,2008,85462,85462,274 / 50
SALINA,Iran,EPIW6,Crude Oil Tanker,Tanker,2009,85462,85462,274 / 50
NORSE SPIRIT,Canada,CFA2680,Crude Oil Tanker,Tanker,2017,85762,85762,279 / 49
DEMETRIOS,Liberia,A8UI5,Crude Oil Tanker,Tanker,2011,85496,85496,274 / 50
DELTA SPIRIT,Liberia,D5RE5,Crude Oil Tanker,Tanker,2010,85522,85522,274 / 50
TONY,Liberia,A8UI4,Crude Oil Tanker,Tanker,2010,85496,85496,274 / 50
MELLOW WIND,Panama,-,Bulk Carrier,-,1997,85590,85590,289 / 45
DELTA MED,Liberia,D5RH4,Crude Oil Tanker,Tanker,2010,85522,85522,274 / 50
ALICE,Cyprus,5BFV3,Bulk Carrier,Cargo ship,1997,85616,85616,289 / 45
DELTA ATLANTICA,Liberia,D5RH3,Crude Oil Tanker,Tanker,2011,85522,85522,274 / 50
ATLANTIC ENERGY,Korea,-,LNG Tanker,-,1984,85616,85616,287 / 42
PACIFIC ENERGY,Marshall Islands,-,LNG Tanker,-,1981,85616,85616,287 / 42
SILVER MARINER,Marshall Islands,-,Bulk Carrier,-,1995,85629,85629,290 / 46
TIANSHENGHAI,Panama,-,Bulk Carrier,-,1997,85676,85676,289 / 45
CAPE OLIVE,Cyprus,-,Bulk Carrier,-,1996,85663,85663,290 / 46
JUNE,St Kitts & Nevis,-,Bulk Carrier,-,1996,85845,85845,288 / 45
COSTA MEDITERRANEA,Italy,IBCF,Passenger (Cruise) Ship,Passenger ship,2003,85619,85619,293 / 32
NEW KATERINA,Panama,-,Bulk Carrier,-,1997,85590,85590,289 / 45
CHIHIRO,Panama,-,Bulk Carrier,-,1997,85849,85849,292 / 46
AQUABREEZE,Liberia,D5WJ6,Bulk Carrier,Cargo ship,2003,87597,87597,289 / 45
SANTA CATARINA,Denmark,OXRX2,Container Ship,Cargo ship (HAZ-A),2011,85676,85676,300 / 43
RUTLAND,Singapore,-,Bulk Carrier,-,1997,85848,85848,291 / 46
NAVIOS EQUATOR PROSP,Panama,-,Bulk Carrier,-,2000,85868,85868,288 / 45
MV COSTA ATLANTICA,Italy,IBLQ,Passenger (Cruise) Ship,Passenger ship,2000,85861,85861,293 / 39
SEROJA TIGA,Panama,3FRZ3,Container Ship,Cargo ship (HAZ-A),2010,87697,87697,316 / 46
ANL GIPPSLAND,Liberia,D5DM2,Container Ship,Cargo ship (HAZ-B),2013,87865,87865,320 / 46
AQUACHARM,Liberia,A8TY7,Bulk Carrier,Cargo ship,2003,87597,87597,289 / 45
RZS HARMONY,Hong Kong,-,Bulk Carrier,-,1999,87614,87614,289 / 45
CAPE SUN,Cyprus,P3JU8,Bulk Carrier,Cargo ship,1999,87614,87614,289 / 45
MARAN VISION,Greece,SXLT,Bulk Carrier,Cargo ship,2007,87927,87927,289 / 45
TIANRONGHAI,Panama,-,Bulk Carrier,-,2000,87625,87625,289 / 45
KAREN KNUTSEN,United Kingdom,MDKK2,Crude Oil Tanker,Tanker (HAZ-A),1999,88109,88109,274 / 50
MINERAL NOBLE,Hong Kong,VRTC2,Bulk Carrier,Cargo ship,2004,88179,88179,289 / 45
GENCO COMMODUS,Marshall Islands,V7RP7,Bulk Carrier,Cargo ship,2009,88397,88397,288 / 45
EAGLE BARENTS,Bahamas,C6BJ5,Crude Oil Tanker,Tanker,2015,88099,88099,276 / 46
MANASOTA,Malta,9HDF8,Bulk Carrier,Cargo ship,2004,88129,88129,289 / 45
GENCO CLAUDIUS,Marshall Islands,V7SY6,Bulk Carrier,Cargo ship,2010,88397,88397,288 / 45
MARAN EXPLORER,Greece,SZTF,Bulk Carrier,Cargo ship,2007,88028,88028,289 / 45
NAVIOS ANTARES,Panama,3EXD4,Bulk Carrier,Cargo ship,2010,88421,88421,288 / 45
CAPTAIN VANGELIS L,Liberia,A8QC7,Bulk Carrier,Cargo ship,2009,88420,88420,288 / 45
NEA IONIA,Liberia,A8QO8,Bulk Carrier,Cargo ship,2009,88397,88397,288 / 45
DALIAN EXPRESS,Germany,DGXS,Container Ship,Cargo ship,2001,88493,88493,321 / 43
NINGBO EXPRESS,Germany,DHEB,Container Ship,Cargo ship,2002,88493,88493,321 / 43
BERLIN EXPRESS,Germany,DGHX,Container Ship,Cargo ship,2003,88493,88493,321 / 43
CAPE HERON,United Kingdom,2IHV8,Bulk Carrier,Cargo ship,2005,88494,88494,289 / 45
COLOSSUS,United Kingdom,2COY6,Bulk Carrier,Cargo ship,2010,88479,88479,287 / 45
YANTIAN EXPRESS,Germany,DPCK,Container Ship,Cargo ship,2002,88493,88493,321 / 43
NAVIOS AURORA II,Panama,3FDM,Bulk Carrier,Cargo ship,2009,88421,88421,288 / 45
